순위,관광지ID,관광지명,분류
81,a0221ab78712a9a22a3acc32608c6b14,안녕동해야,펜션/민박
81,9d5fe4a0890ea6a0ca365b8cd875a271,동해귀빈,모텔
83,951c96d6fe837f4da05b148332891859,무릉계곡힐링캠프장,캠핑
84,d6fbfdcb3e89ffa8948dfaf3b5da8099,션샤인호텔,호텔
85,54a98a1300192150bbabb710150dcd39,추암조각공원,도시공원
86,83c5753ab82a170d4e9eaf90b3b0f4ca,동해를그리다,펜션/민박
87,f14d8cbe07b76f3b8b10f60d7f834e17,동해이지무인텔,모텔
88,2344893de012a27ed98faa300066bef8,블루문호텔,모텔
89,eecca88a770d70235825eacffd281fd8,어달OTP펜션,펜션/민박
90,8efd15443ebbb511bf07b317a756a779,너에게감동해,펜션/민박
91,906643620a6793df324e82b587cb2845,망상오토캠핑리조트/든바다든바다,기타숙박
92,313bf4d28b295309e86db6a7ff7d060e,유브모텔,모텔
93,fd7add8a26c8ae27c836151a9deedc3b,일마레펜션,펜션/민박
93,13700c4d75a9b3da33d0eaf37792e3bd,동해무릉파크골프장,육상레저스포츠
95,d708347d46bef07aaeddf372bf72c336,묵호등대공원,도시공원
96,84b5501a3484c65c6f01db0e71f3c41e,망상해오름가족호텔,호텔
97,80dc04c892116db47b861d8581c26315,피그모텔,모텔
98,01c7e63f7f0a0ab36fb219a3d0b636ef,이스트하우스,펜션/민박
99,ef1da2632a7f610dfb2bfd68009d06f3,글로리아펜션,펜션/민박
100,5caf552acd775bfa5f2956d49d2a732d,망상컨벤션센터,전시시설
